Algorithm,Players,Round,Scenario,AvgTime_ms,MinTime_ms,MaxTime_ms,StdDev_ms,AvgCPU_ms,Success,Runs
BACKTRACKING,17,2,BYE_ONLY,3,80,2,00,8,00,2,14,3,00,TRUE,5
BACKTRACKING,17,3,BYE_ONLY,2,80,1,00,4,00,0,98,3,00,TRUE,5
BACKTRACKING,17,4,BYE_ONLY,2,00,2,00,2,00,0,00,0,00,TRUE,5
BACKTRACKING,17,5,BYE_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
CP_SAT,17,2,BYE_ONLY,19,40,19,00,20,00,0,49,9,20,TRUE,5
CP_SAT,17,3,BYE_ONLY,30,40,20,00,39,00,8,55,9,00,TRUE,5
CP_SAT,17,4,BYE_ONLY,52,40,35,00,117,00,32,31,3,00,TRUE,5
CP_SAT,17,5,BYE_ONLY,25,60,18,00,39,00,9,39,6,20,TRUE,5
BACKTRACKING,33,2,BYE_ONLY,2,00,1,00,3,00,0,63,3,00,TRUE,5
BACKTRACKING,33,3,BYE_ONLY,2,00,1,00,3,00,0,63,0,00,TRUE,5
BACKTRACKING,33,4,BYE_ONLY,1,80,1,00,2,00,0,40,3,00,TRUE,5
BACKTRACKING,33,5,BYE_ONLY,2,20,2,00,3,00,0,40,3,00,TRUE,5
CP_SAT,33,2,BYE_ONLY,44,60,37,00,55,00,8,11,15,20,TRUE,5
CP_SAT,33,3,BYE_ONLY,37,00,36,00,38,00,0,89,12,00,TRUE,5
CP_SAT,33,4,BYE_ONLY,44,40,37,00,55,00,8,28,18,20,TRUE,5
CP_SAT,33,5,BYE_ONLY,43,80,36,00,54,00,7,98,30,80,TRUE,5
BACKTRACKING,65,2,BYE_ONLY,2,00,1,00,3,00,0,63,0,00,TRUE,5
BACKTRACKING,65,3,BYE_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,65,4,BYE_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,65,5,BYE_ONLY,1,80,1,00,3,00,0,75,0,00,TRUE,5
CP_SAT,65,2,BYE_ONLY,117,20,108,00,123,00,5,74,77,40,TRUE,5
CP_SAT,65,3,BYE_ONLY,112,80,104,00,122,00,7,47,61,80,TRUE,5
CP_SAT,65,4,BYE_ONLY,173,00,157,00,191,00,13,52,74,60,TRUE,5
CP_SAT,65,5,BYE_ONLY,131,40,124,00,139,00,6,71,58,80,TRUE,5
BACKTRACKING,129,2,BYE_ONLY,2,00,1,00,3,00,0,63,3,00,TRUE,5
BACKTRACKING,129,3,BYE_ONLY,2,00,2,00,2,00,0,00,0,00,TRUE,5
BACKTRACKING,129,4,BYE_ONLY,2,20,1,00,3,00,0,75,0,00,TRUE,5
BACKTRACKING,129,5,BYE_ONLY,2,20,2,00,3,00,0,40,0,00,TRUE,5
CP_SAT,129,2,BYE_ONLY,719,20,689,00,810,00,46,22,343,20,TRUE,5
CP_SAT,129,3,BYE_ONLY,739,00,702,00,829,00,46,55,356,00,TRUE,5
CP_SAT,129,4,BYE_ONLY,972,40,724,00,1819,00,423,94,352,80,TRUE,5
CP_SAT,129,5,BYE_ONLY,728,00,657,00,794,00,48,88,359,00,TRUE,5
BACKTRACKING,16,2,TEAM_ONLY,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,16,3,TEAM_ONLY,0,80,0,00,1,00,0,40,0,00,TRUE,5
BACKTRACKING,16,4,TEAM_ONLY,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,16,5,TEAM_ONLY,0,60,0,00,1,00,0,49,0,00,TRUE,5
CP_SAT,16,2,TEAM_ONLY,33,20,19,00,38,00,7,19,0,00,TRUE,5
CP_SAT,16,3,TEAM_ONLY,22,80,18,00,37,00,7,14,9,20,TRUE,5
CP_SAT,16,4,TEAM_ONLY,29,20,18,00,38,00,8,80,9,20,TRUE,5
CP_SAT,16,5,TEAM_ONLY,37,20,34,00,40,00,2,32,9,20,TRUE,5
BACKTRACKING,32,2,TEAM_ONLY,1,20,0,00,2,00,0,75,3,00,TRUE,5
BACKTRACKING,32,3,TEAM_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,32,4,TEAM_ONLY,1,40,1,00,2,00,0,49,3,00,TRUE,5
BACKTRACKING,32,5,TEAM_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
CP_SAT,32,2,TEAM_ONLY,36,80,36,00,38,00,0,75,9,00,TRUE,5
CP_SAT,32,3,TEAM_ONLY,58,20,53,00,77,00,9,41,15,00,TRUE,5
CP_SAT,32,4,TEAM_ONLY,51,20,37,00,57,00,7,19,21,40,TRUE,5
CP_SAT,32,5,TEAM_ONLY,79,60,37,00,229,00,75,04,18,20,TRUE,5
BACKTRACKING,64,2,TEAM_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,64,3,TEAM_ONLY,1,20,1,00,2,00,0,40,0,00,TRUE,5
BACKTRACKING,64,4,TEAM_ONLY,2,00,2,00,2,00,0,00,0,00,TRUE,5
BACKTRACKING,64,5,TEAM_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
CP_SAT,64,2,TEAM_ONLY,446,40,139,00,908,00,363,22,71,60,TRUE,5
CP_SAT,64,3,TEAM_ONLY,174,80,156,00,195,00,14,29,68,20,TRUE,5
CP_SAT,64,4,TEAM_ONLY,229,80,192,00,252,00,20,49,74,80,TRUE,5
CP_SAT,64,5,TEAM_ONLY,589,20,183,00,858,00,302,25,74,40,TRUE,5
BACKTRACKING,128,2,TEAM_ONLY,1,20,1,00,2,00,0,40,0,00,TRUE,5
BACKTRACKING,128,3,TEAM_ONLY,1,60,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,128,4,TEAM_ONLY,1,40,1,00,2,00,0,49,3,00,TRUE,5
BACKTRACKING,128,5,TEAM_ONLY,1,80,1,00,2,00,0,40,0,00,TRUE,5
CP_SAT,128,2,TEAM_ONLY,757,60,737,00,794,00,19,99,368,40,TRUE,5
CP_SAT,128,3,TEAM_ONLY,695,80,673,00,714,00,13,93,362,20,TRUE,5
CP_SAT,128,4,TEAM_ONLY,1477,40,938,00,1651,00,273,49,368,60,TRUE,5
CP_SAT,128,5,TEAM_ONLY,833,40,728,00,875,00,54,19,368,40,TRUE,5
BACKTRACKING,16,2,CITY_ONLY,1,20,1,00,2,00,0,40,0,00,TRUE,5
BACKTRACKING,16,3,CITY_ONLY,1,00,1,00,1,00,0,00,3,00,TRUE,5
BACKTRACKING,16,4,CITY_ONLY,0,80,0,00,1,00,0,40,3,00,TRUE,5
BACKTRACKING,16,5,CITY_ONLY,0,80,0,00,2,00,0,75,0,00,TRUE,5
CP_SAT,16,2,CITY_ONLY,19,40,18,00,21,00,1,02,6,00,TRUE,5
CP_SAT,16,3,CITY_ONLY,32,80,19,00,38,00,7,00,0,00,TRUE,5
CP_SAT,16,4,CITY_ONLY,32,20,18,00,37,00,7,19,6,20,TRUE,5
CP_SAT,16,5,CITY_ONLY,22,20,18,00,35,00,6,43,9,20,TRUE,5
BACKTRACKING,32,2,CITY_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,32,3,CITY_ONLY,1,00,0,00,2,00,0,63,0,00,TRUE,5
BACKTRACKING,32,4,CITY_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,32,5,CITY_ONLY,1,20,1,00,2,00,0,40,0,00,TRUE,5
CP_SAT,32,2,CITY_ONLY,37,20,36,00,38,00,0,75,27,80,TRUE,5
CP_SAT,32,3,CITY_ONLY,53,60,52,00,54,00,0,80,21,40,TRUE,5
CP_SAT,32,4,CITY_ONLY,54,00,53,00,55,00,0,63,18,40,TRUE,5
CP_SAT,32,5,CITY_ONLY,60,60,53,00,71,00,7,74,27,60,TRUE,5
BACKTRACKING,64,2,CITY_ONLY,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,64,3,CITY_ONLY,1,00,1,00,1,00,0,00,3,00,TRUE,5
BACKTRACKING,64,4,CITY_ONLY,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,64,5,CITY_ONLY,1,40,1,00,2,00,0,49,0,00,TRUE,5
CP_SAT,64,2,CITY_ONLY,316,80,155,00,877,00,280,39,80,80,TRUE,5
CP_SAT,64,3,CITY_ONLY,160,40,155,00,172,00,6,47,62,00,TRUE,5
CP_SAT,64,4,CITY_ONLY,298,20,206,00,594,00,148,37,71,60,TRUE,5
CP_SAT,64,5,CITY_ONLY,290,20,139,00,885,00,297,43,58,80,TRUE,5
BACKTRACKING,128,2,CITY_ONLY,1,20,1,00,2,00,0,40,3,00,TRUE,5
BACKTRACKING,128,3,CITY_ONLY,1,60,1,00,2,00,0,49,3,00,TRUE,5
BACKTRACKING,128,4,CITY_ONLY,1,60,1,00,2,00,0,49,3,00,TRUE,5
BACKTRACKING,128,5,CITY_ONLY,1,80,1,00,2,00,0,40,3,00,TRUE,5
CP_SAT,128,2,CITY_ONLY,1631,40,1030,00,1993,00,422,26,378,00,TRUE,5
CP_SAT,128,3,CITY_ONLY,1327,00,1019,00,2411,00,542,36,412,20,TRUE,5
CP_SAT,128,4,CITY_ONLY,1374,20,935,00,2853,00,740,86,415,20,TRUE,5
CP_SAT,128,5,CITY_ONLY,969,60,882,00,1028,00,50,54,393,20,TRUE,5
BACKTRACKING,17,2,BYE_TEAM,1,20,1,00,2,00,0,40,3,00,TRUE,5
BACKTRACKING,17,3,BYE_TEAM,1,40,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,17,4,BYE_TEAM,1,20,1,00,2,00,0,40,3,00,TRUE,5
BACKTRACKING,17,5,BYE_TEAM,1,60,1,00,2,00,0,49,0,00,TRUE,5
CP_SAT,17,2,BYE_TEAM,36,60,35,00,38,00,1,02,12,20,TRUE,5
CP_SAT,17,3,BYE_TEAM,29,00,18,00,36,00,8,58,9,20,TRUE,5
CP_SAT,17,4,BYE_TEAM,29,40,19,00,38,00,8,55,12,20,TRUE,5
CP_SAT,17,5,BYE_TEAM,32,60,20,00,37,00,6,34,9,20,TRUE,5
BACKTRACKING,33,2,BYE_TEAM,1,60,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,33,3,BYE_TEAM,0,80,0,00,1,00,0,40,0,00,TRUE,5
BACKTRACKING,33,4,BYE_TEAM,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,33,5,BYE_TEAM,1,40,1,00,2,00,0,49,0,00,TRUE,5
CP_SAT,33,2,BYE_TEAM,40,20,37,00,52,00,5,91,21,40,TRUE,5
CP_SAT,33,3,BYE_TEAM,44,20,36,00,54,00,8,06,21,60,TRUE,5
CP_SAT,33,4,BYE_TEAM,36,60,36,00,38,00,0,80,12,00,TRUE,5
CP_SAT,33,5,BYE_TEAM,43,60,37,00,54,00,8,09,12,00,TRUE,5
BACKTRACKING,65,2,BYE_TEAM,1,60,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,65,3,BYE_TEAM,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,65,4,BYE_TEAM,1,20,1,00,2,00,0,40,0,00,TRUE,5
BACKTRACKING,65,5,BYE_TEAM,1,20,1,00,2,00,0,40,0,00,TRUE,5
CP_SAT,65,2,BYE_TEAM,454,00,208,00,811,00,267,14,81,00,TRUE,5
CP_SAT,65,3,BYE_TEAM,126,20,122,00,130,00,3,49,65,00,TRUE,5
CP_SAT,65,4,BYE_TEAM,116,60,106,00,123,00,6,83,65,20,TRUE,5
CP_SAT,65,5,BYE_TEAM,162,40,154,00,188,00,13,06,71,40,TRUE,5
BACKTRACKING,129,2,BYE_TEAM,1,80,1,00,3,00,0,75,3,00,TRUE,5
BACKTRACKING,129,3,BYE_TEAM,1,80,1,00,2,00,0,40,0,00,TRUE,5
BACKTRACKING,129,4,BYE_TEAM,2,00,2,00,2,00,0,00,3,00,TRUE,5
BACKTRACKING,129,5,BYE_TEAM,1,80,1,00,2,00,0,40,3,00,TRUE,5
CP_SAT,129,2,BYE_TEAM,738,80,710,00,816,00,39,89,349,60,TRUE,5
CP_SAT,129,3,BYE_TEAM,1021,20,758,00,1983,00,481,09,365,40,TRUE,5
CP_SAT,129,4,BYE_TEAM,704,00,668,00,800,00,49,07,368,40,TRUE,5
CP_SAT,129,5,BYE_TEAM,734,40,693,00,771,00,29,81,371,60,TRUE,5
BACKTRACKING,17,2,ALL_CONSTRAINTS,0,80,0,00,1,00,0,40,3,00,TRUE,5
BACKTRACKING,17,3,ALL_CONSTRAINTS,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,17,4,ALL_CONSTRAINTS,0,80,0,00,1,00,0,40,3,00,TRUE,5
BACKTRACKING,17,5,ALL_CONSTRAINTS,1,00,1,00,1,00,0,00,0,00,TRUE,5
CP_SAT,17,2,ALL_CONSTRAINTS,19,20,18,00,20,00,0,75,12,20,TRUE,5
CP_SAT,17,3,ALL_CONSTRAINTS,18,20,17,00,19,00,0,75,6,00,TRUE,5
CP_SAT,17,4,ALL_CONSTRAINTS,19,60,18,00,20,00,0,80,6,20,TRUE,5
CP_SAT,17,5,ALL_CONSTRAINTS,18,00,17,00,19,00,0,63,9,20,TRUE,5
BACKTRACKING,33,2,ALL_CONSTRAINTS,1,20,1,00,2,00,0,40,3,00,TRUE,5
BACKTRACKING,33,3,ALL_CONSTRAINTS,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,33,4,ALL_CONSTRAINTS,1,60,1,00,2,00,0,49,3,00,TRUE,5
BACKTRACKING,33,5,ALL_CONSTRAINTS,1,20,1,00,2,00,0,40,0,00,TRUE,5
CP_SAT,33,2,ALL_CONSTRAINTS,36,20,36,00,37,00,0,40,24,60,TRUE,5
CP_SAT,33,3,ALL_CONSTRAINTS,46,80,37,00,54,00,8,01,18,20,TRUE,5
CP_SAT,33,4,ALL_CONSTRAINTS,39,20,36,00,51,00,5,91,18,40,TRUE,5
CP_SAT,33,5,ALL_CONSTRAINTS,69,80,37,00,196,00,63,13,12,00,TRUE,5
BACKTRACKING,65,2,ALL_CONSTRAINTS,1,00,1,00,1,00,0,00,0,00,TRUE,5
BACKTRACKING,65,3,ALL_CONSTRAINTS,1,20,1,00,2,00,0,40,0,00,TRUE,5
BACKTRACKING,65,4,ALL_CONSTRAINTS,1,40,1,00,2,00,0,49,0,00,TRUE,5
BACKTRACKING,65,5,ALL_CONSTRAINTS,1,20,1,00,2,00,0,40,0,00,TRUE,5
CP_SAT,65,2,ALL_CONSTRAINTS,143,80,130,00,157,00,10,78,68,40,TRUE,5
CP_SAT,65,3,ALL_CONSTRAINTS,467,00,334,00,961,00,247,12,109,00,TRUE,5
CP_SAT,65,4,ALL_CONSTRAINTS,144,80,138,00,155,00,8,33,80,80,TRUE,5
CP_SAT,65,5,ALL_CONSTRAINTS,150,40,139,00,165,00,10,07,71,60,TRUE,5
BACKTRACKING,129,2,ALL_CONSTRAINTS,1,80,1,00,2,00,0,40,3,00,TRUE,5
BACKTRACKING,129,3,ALL_CONSTRAINTS,2,00,1,00,3,00,0,63,3,00,TRUE,5
BACKTRACKING,129,4,ALL_CONSTRAINTS,2,40,2,00,3,00,0,49,0,00,TRUE,5
BACKTRACKING,129,5,ALL_CONSTRAINTS,2,40,2,00,3,00,0,49,3,00,TRUE,5
CP_SAT,129,2,ALL_CONSTRAINTS,917,40,840,00,979,00,47,06,393,20,TRUE,5
CP_SAT,129,3,ALL_CONSTRAINTS,1116,00,1009,00,1208,00,73,19,415,20,TRUE,5
CP_SAT,129,4,ALL_CONSTRAINTS,1654,60,1258,00,2953,00,651,22,427,60,TRUE,5
CP_SAT,129,5,ALL_CONSTRAINTS,1362,00,1071,00,2116,00,382,51,430,80,TRUE,5
